Student_ID,Age,Gender,SES,High_School_GPA,SAT_Score,Academic_Failures,Attendance_Percentage,Extracurricular_Participation,Academic_Support,Online_Learning_Hours,Enrolled,Graduated
1,20,Male,Low,2.87,819,3,66.8,No,Yes,2.9,No,Needs Support
2,21,Female,High,2.59,1081,4,64.8,Yes,No,7.7,No,Success
3,19,Female,High,3.9,1596,2,95.9,Yes,Yes,4.3,Yes,Needs Support
4,21,Male,High,3.53,800,2,55.5,No,Yes,2.1,No,Needs Support
5,21,Male,Low,2.28,918,3,88.0,Yes,No,8.0,Yes,Needs Support
6,18,Female,Middle,3.74,834,4,99.4,Yes,No,3.3,Yes,Needs Support
7,19,Female,Low,2.97,997,4,95.1,No,Yes,8.7,Yes,Needs Support
8,19,Female,Middle,3.79,1284,4,82.6,Yes,No,9.2,Yes,Success
9,19,Male,High,3.6,1556,1,65.7,Yes,No,8.6,Yes,Success
10,21,Female,High,2.85,858,2,62.7,No,No,0.4,Yes,Success
11,20,Female,Low,2.04,960,4,91.0,Yes,No,7.9,No,Success
12,19,Female,Low,2.54,1490,4,94.0,No,Yes,4.1,Yes,Needs Support
13,22,Male,Middle,3.08,1005,1,76.3,Yes,No,8.7,Yes,Needs Support
14,21,Female,Middle,3.27,811,1,62.2,Yes,Yes,6.4,No,Success
15,18,Female,Low,2.52,1289,4,55.6,No,Yes,8.3,Yes,Needs Support
16,20,Male,Middle,2.28,1075,0,54.4,No,Yes,5.0,No,Success
17,22,Female,Low,3.67,1492,4,86.0,Yes,Yes,5.4,No,Success
18,22,Female,Middle,3.97,1041,4,71.0,No,No,1.4,No,Success
19,18,Male,Low,3.05,1015,1,95.3,No,No,7.8,Yes,Needs Support
20,20,Female,Low,2.34,1050,1,87.0,Yes,Yes,4.2,Yes,Needs Support
21,21,Male,Low,2.54,925,4,59.6,Yes,Yes,5.0,No,Needs Support
22,17,Male,Middle,2.04,1016,4,80.7,Yes,Yes,7.9,Yes,Needs Support
23,20,Female,Middle,3.83,1105,4,71.8,No,Yes,6.0,Yes,Success
24,18,Female,Middle,2.24,1596,1,78.9,No,No,2.0,No,Needs Support
25,22,Female,Low,3.15,984,4,86.9,No,Yes,5.9,No,Needs Support
26,21,Female,Middle,2.55,838,4,90.3,No,No,4.1,Yes,Needs Support
27,20,Male,Middle,3.11,1022,3,92.2,Yes,Yes,4.7,No,Success
28,17,Female,Low,3.3,983,0,62.7,No,Yes,0.3,No,Success
29,17,Male,High,3.66,1294,2,51.6,Yes,Yes,2.1,No,Needs Support
30,19,Female,Low,2.41,1226,0,87.0,No,Yes,2.8,Yes,Needs Support
31,19,Female,Middle,2.02,977,3,55.3,Yes,No,7.1,Yes,Needs Support
32,18,Female,Low,2.27,1227,2,65.7,Yes,No,0.1,Yes,Needs Support
33,20,Male,High,3.8,1093,4,50.2,Yes,No,4.1,No,Success
34,20,Female,Low,3.75,950,3,84.1,No,Yes,9.2,Yes,Needs Support
35,22,Female,Middle,3.19,1183,4,58.4,Yes,Yes,1.1,No,Needs Support
